year,month,day,weekday,carrier,origin,destination,arrivaldelay,departuredelay,weatherdelay,distance
1990,4,15,7,AA,BNA,TPA,3,40,34,92
2000,11,16,4,TW,STL,MCI,3,0,4,74
2008,9,22,1,UA,PIT,ORD,2,210,212,99
1992,9,4,5,DL,ATL,MCI,3,32,40,126
1996,2,16,5,US,PIT,ALB,2,5,20,88
1990,6,4,1,CO,DFW,DEN,1,0,5,127
1995,11,6,1,DL,ATL,IAD,3,0,20,111
1992,11,29,7,AA,ORD,ATL,2,43,57,124
2004,2,2,1,DL,ATL,DTW,1,15,41,138
1990,7,21,6,UA,ORD,FSD,1,7,5,88
2008,5,18,7,MQ,EWR,RDU,3,0,0,100
2001,5,21,1,AA,SJC,PHX,3,1,13,124
2000,4,1,6,DL,DEN,ATL,2,6,1,163
2000,6,15,4,AA,DFW,ORD,2,8,0,130
1998,10,16,5,US,PNS,CLT,2,52,56,89
1993,7,29,4,AA,DFW,SAN,1,4,5,173
1989,5,7,7,PI,BWI,MCO,1,21,28,129
1987,12,24,4,CO,MSY,MIA,3,77,61,104
1996,1,27,6,US,PWM,PIT,1,20,28,122
1999,5,3,1,HP,LAX,LAS,3,3,4,62
2006,7,30,7,WN,SNA,OAK,1,50,46,71
1996,1,2,2,TW,STL,CLE,2,36,56,116
2001,1,30,2,MQ,MIA,RSW,1,0,4,51
2008,5,28,3,WN,LAS,SFO,2,94,79,85
1999,3,18,4,NW,BWI,DTW,2,24,17,94
1995,2,26,7,WN,AUS,HOU,1,0,2,42
1999,2,14,7,US,PHL,ORF,3,30,16,49
1988,4,16,6,UA,ORD,LNK,1,9,3,86
1996,10,13,7,WN,LAX,PHX,1,0,1,71
2005,2,17,4,XE,ATL,IAH,2,0,14,149
2003,2,9,7,WN,AMA,DAL,3,90,83,53
2005,12,3,6,WN,STL,LAS,2,10,28,243
1997,6,19,4,DL,ABQ,ATL,0,62,71,175
2004,8,31,2,US,CLT,PHX,3,10,6,245
1990,4,1,7,PA (1),PHL,JFK,2,32,25,58
2007,10,8,1,MQ,CMI,ORD,3,10,11,61
2002,5,11,6,UA,DEN,IAD,2,6,2,188
2000,7,10,1,AA,BUF,ORD,1,124,128,99
1992,5,2,6,US,CLT,ORD,1,7,4,107
1988,11,17,4,DL,DCA,DFW,1,28,48,208
1993,1,16,6,DL,MEM,ATL,3,20,19,61
1988,4,23,6,DL,ATL,RIC,3,81,73,79
2006,9,5,2,AS,SEA,LAS,3,43,53,152
1990,6,3,7,EA,BOS,ATL,1,0,1,158
1997,2,13,4,DL,DCA,CVG,1,0,2,97
1994,7,19,2,WN,ONT,PHX,1,0,9,69
2004,2,13,5,US,DEN,PHL,2,9,4,198
1989,9,13,3,AA,ORD,BOS,2,12,20,143
1999,10,20,3,CO,EWR,ORD,3,30,25,151
1997,1,10,5,DL,MCO,IND,3,62,60,138
1995,4,28,5,WN,PHX,BUR,1,0,7,87
1988,2,4,4,NW,CWA,DTW,1,35,42,89
2001,1,28,7,TW,STL,BOS,3,10,1,138
1989,5,18,4,WN,SAT,HOU,2,5,10,55
1989,2,26,7,US,PIT,CRW,3,13,7,36
2001,12,27,4,WN,BWI,RDU,2,30,30,60
1995,12,1,5,DL,ATL,ORD,3,18,10,119
1991,3,9,6,HP,LAS,BOS,0,24,9,275
2007,8,22,3,UA,IAD,DEN,2,5,29,248
1992,5,16,6,DL,MSY,LGA,3,0,9,167
2005,12,25,7,MQ,DFW,JAN,2,8,5,73
1998,3,22,7,UA,JFK,PHL,1,53,85,92
2000,1,8,6,NW,DTW,PBI,1,23,4,157
2004,2,1,7,FL,PHF,ATL,2,21,28,112
1991,9,23,1,CO,MSY,CLE,2,1,1,144
1998,1,31,6,WN,SMF,LAS,2,0,3,73
1997,11,13,4,HP,PHX,ORD,3,0,4,192
2004,1,27,2,US,CLT,PIT,2,0,2,82
2008,10,5,7,UA,STL,DEN,3,4,7,141
2008,6,22,7,WN,MDW,JAN,3,154,136,97
1995,7,25,2,US,CLT,IAD,3,1,5,77
2007,6,11,1,WN,SJC,SNA,3,19,15,71
2007,9,5,3,AA,DFW,ORD,2,8,15,142
1999,7,23,5,NW,MSP,STL,3,0,20,120
2008,11,30,7,DL,PHX,ATL,2,27,36,227
1997,1,1,3,WN,DAL,LIT,2,59,64,60
2000,7,31,1,HP,DFW,PHX,3,44,52,153
2002,10,28,1,CO,IAH,DEN,3,65,111,186
2006,4,7,5,DL,DCA,ATL,2,5,5,111
1995,12,9,6,AA,DFW,LAX,0,14,12,201
1999,6,9,3,WN,BOI,RNO,1,0,0,65
2002,6,12,3,DL,ATL,CVG,3,0,4,90
1996,3,4,1,WN,OKC,DAL,2,0,3,48
1996,10,10,4,NW,MSP,MCI,3,81,63,79
1994,5,7,6,TW,JFK,MCO,1,0,2,164
1992,7,15,3,US,ORF,EWR,1,2,10,84
2000,9,2,6,US,DCA,LGA,2,0,1,67
2001,8,20,1,DL,JFK,ATL,3,56,58,147
2006,7,24,1,AA,DFW,MIA,3,116,102,151
2000,8,26,6,WN,LAS,PHX,1,0,11,71
1993,1,7,4,WN,DAL,SAT,2,0,0,55
2006,7,28,5,EV,ATL,SRQ,2,15,30,105
2000,12,3,7,UA,PIT,ORD,2,20,9,87
1990,5,15,2,NW,DTW,MIA,3,10,43,215
1991,11,26,2,US,PHL,FLL,2,22,33,182
1989,4,21,5,UA,IAD,DTW,3,48,40,77
1988,12,22,4,TW,STL,BNA,2,122,140,86
1989,12,21,4,DL,CVG,STL,1,8,8,79
1993,5,31,1,DL,CVG,GSO,3,6,6,67
1993,2,25,4,CO,SFO,SMF,2,85,72,43
1995,2,4,6,AS,AKN,DLG,2,0,0,25
1996,12,19,4,CO,IAH,BWI,2,15,6,158
2001,10,5,5,TW,STL,ONT,1,26,11,222
1994,1,9,7,DL,DFW,OAK,3,0,7,242
1990,2,7,3,DL,DFW,IAH,1,27,29,60
2006,10,19,4,NW,BWI,DTW,2,6,6,96
2005,6,30,4,DL,ATL,GSP,2,3,7,59
1993,3,31,3,US,CLT,SYR,1,5,0,100
2007,7,19,4,MQ,CLT,ORD,2,20,34,134
1999,3,8,1,NW,MSP,BOI,2,11,19,192
2007,7,17,2,DL,SLC,LAX,3,24,25,129
1989,11,3,5,TW,LGA,STL,3,4,35,203
1993,12,13,1,UA,SFO,BUR,1,2,1,68
1998,8,20,4,AA,DFW,LAX,2,0,15,200
1992,9,7,1,DL,RNO,LAX,3,7,3,85
2000,3,19,7,AA,MIA,DFW,1,11,1,187
1996,7,21,7,CO,EWR,ATL,2,8,2,134
1994,7,31,7,WN,HOU,DAL,3,11,12,51
2001,1,26,5,UA,DEN,LAX,2,36,33,139
2000,4,17,1,CO,IAH,ELP,3,21,7,106
2003,5,13,2,WN,HOU,SAT,2,5,8,53
2008,6,22,7,EV,ATL,CAE,2,13,17,63
2002,3,15,5,UA,LAX,HNL,2,86,98,352
1990,2,14,3,US,JAX,CLT,1,0,11,81
1996,8,27,2,US,AVP,PIT,1,0,0,63
1993,4,21,3,AA,DFW,SFO,2,2,9,228
2007,6,4,1,MQ,JFK,RDU,2,35,28,88
2000,12,15,5,WN,DAL,AMA,1,0,4,69
2007,3,3,6,OH,OKC,CVG,2,39,34,119
2003,3,21,5,OO,SLC,CDC,3,0,0,62
2005,5,9,1,NW,MEM,BNA,2,0,11,72
1999,1,11,1,WN,SDF,STL,2,0,0,65
1995,3,12,7,AS,SMF,SEA,3,0,2,105
2005,2,6,7,B6,JFK,PBI,3,14,1,167
1992,6,26,5,CO,MCO,EWR,3,2,11,169
2006,2,22,3,CO,IAH,DEN,2,1,10,158
1998,3,23,1,UA,PHX,SFO,1,12,10,123
2003,11,9,7,CO,BOS,EWR,3,13,6,80
2004,12,17,5,DL,ATL,DFW,3,7,5,148
2000,4,20,4,US,ROC,DCA,3,9,10,68
1990,1,11,4,US,LAX,SMF,3,0,0,79
2003,8,19,2,WN,MCI,LAS,1,0,0,170
2008,10,30,4,US,CLT,BOS,2,5,21,150
2006,5,8,1,MQ,CHA,DFW,2,23,34,141
1991,5,12,7,US,MSP,PIT,3,1,15,126
2001,1,26,5,NW,DTW,MSP,2,0,0,124
2004,9,1,3,EV,ATL,FAY,2,11,0,90
1998,8,7,5,AA,DFW,LAX,2,14,5,177
1994,11,18,5,NW,EWR,DTW,3,116,116,122
2000,3,23,4,WN,LAS,ONT,3,23,34,61
1996,10,29,2,WN,BUR,SJC,1,0,0,60
1997,3,28,5,AA,DFW,TPA,1,49,45,133
1993,9,27,1,CO,EWR,BOS,1,0,0,76
1998,7,19,7,TW,SEA,STL,1,0,3,233
1996,12,11,3,UA,SFO,SEA,3,118,109,108
2007,9,10,1,WN,AUS,DAL,2,0,3,53
2003,7,12,6,OO,SLC,BIL,3,7,11,78
2004,12,15,3,MQ,SAN,LAX,2,12,0,39
2005,8,11,4,NW,EWR,MSP,1,0,27,203
1992,11,10,2,DL,FLL,MCO,1,0,3,49
1999,7,25,7,AS,ONT,SEA,3,67,55,133
2003,11,7,5,CO,IAH,PHX,3,14,12,163
2001,4,17,2,UA,MCO,ORD,2,1,3,169
2007,4,20,5,OO,DTW,ORD,2,17,4,68
2005,3,6,7,EV,SLC,PDX,1,0,0,113
1988,12,26,1,AA,SEA,SFO,2,0,8,128
2003,8,20,3,WN,JAX,FLL,3,0,5,75
2003,9,22,1,XE,IAH,DAL,1,12,15,63
1992,9,10,4,DL,ATL,SWF,3,20,46,149
2000,12,15,5,UA,DEN,PDX,3,1,4,159
1998,1,22,4,DL,TUS,DFW,2,44,66,140
1988,12,29,4,AA,ORD,FWA,2,21,23,57
2007,2,8,4,CO,IAH,SFO,3,106,119,285
2006,5,30,2,XE,TYS,EWR,2,12,5,118
1989,3,15,3,CO,DTW,DEN,2,12,34,202
2001,12,7,5,DL,ATL,TPA,3,8,1,81
2000,6,18,7,TW,STL,DEN,2,35,47,143
1992,7,17,5,CO,DEN,CLE,2,26,17,165
1988,2,18,4,NW,FSD,RAP,2,4,4,62
1996,1,9,2,US,CLT,PHL,2,23,22,86
2008,10,11,6,YV,TUS,PHX,2,10,20,55
2004,11,17,3,WN,LAS,MDW,3,7,12,210
1991,1,5,6,US,RDU,EWR,1,1,1,82
1990,6,22,5,CO,PHL,IAH,3,1,14,206
2004,1,19,1,TZ,MDW,MIA,2,36,20,164
2006,5,29,1,WN,SAT,DAL,3,17,25,68
1988,3,9,3,CO,LFT,IAH,2,2,6,50
1992,5,3,7,DL,DFW,LAX,3,271,306,216
1987,12,4,5,DL,BWI,CVG,1,0,4,84
2000,3,27,1,TW,STL,OGG,2,4,8,541
1991,2,16,6,DL,MIA,ATL,1,5,9,113
1996,9,2,1,AA,ORD,BUF,0,4,11,95
2001,5,30,3,MQ,DCA,JFK,2,8,8,90
1991,12,3,2,DL,PHL,ATL,3,39,42,129
2006,5,23,2,DL,MCO,LGA,2,170,168,147
2007,8,16,4,B6,BUF,JFK,2,73,75,87
1989,10,28,6,AA,LAX,HNL,2,4,6,333
1993,7,22,4,WN,LAS,PHX,2,0,0,60
2001,6,21,4,WN,HOU,MDW,3,45,30,130
1989,9,26,2,AA,SNA,SFO,3,1,23,112
2007,8,10,5,WN,LAS,SAT,2,14,8,164
2007,11,16,5,AA,LAX,SFO,1,50,107,137
1996,10,18,5,DL,DCA,LGA,2,0,1,56
1996,2,21,3,NW,LAX,SAN,2,0,3,47
1994,9,24,6,AA,SJU,MIA,2,10,4,146
1988,1,6,3,EA,MIA,DCA,2,60,57,140
2006,5,27,6,AA,DFW,RDU,1,17,20,157
1994,12,26,1,UA,LAX,OAK,1,12,11,75
2000,10,9,1,TW,STL,BOS,2,2,13,173
2001,2,17,6,WN,SLC,PHX,2,60,53,88
1989,12,18,1,UA,LGB,ORD,1,14,2,225
1988,7,10,7,UA,SFO,LAX,3,5,3,74
1997,11,11,2,NW,ORD,BOS,2,0,2,135
2006,12,21,4,XE,BRO,IAH,2,65,55,76
1990,4,10,2,DL,SAN,DFW,1,0,21,183
1990,6,27,3,HP,LAS,SAN,3,3,6,63
1989,2,4,6,AA,RDU,ROC,1,25,14,84
1994,11,10,4,TW,STL,CLE,3,0,6,96
2006,9,15,5,WN,GEG,SEA,3,79,69,50
1989,12,5,2,UA,SFO,LAS,1,4,0,88
1995,8,2,3,NW,SFO,HNL,2,72,72,312
2006,6,1,4,UA,ORD,SLC,2,11,1,199
1995,11,20,1,UA,LAS,LAX,3,34,29,60
1996,2,4,7,DL,DFW,MCO,3,95,75,129
2006,9,12,2,US,BOS,PIT,1,3,1,98
1995,1,29,7,AA,MIA,DCA,2,0,1,147
1997,10,7,2,DL,LAX,OGG,2,6,0,309
1993,1,3,7,WN,BUR,OAK,2,21,20,64
2003,8,16,6,DH,BTV,IAD,3,0,0,91
2005,4,10,7,CO,IAH,MSP,3,15,2,153
1989,12,21,4,AA,DFW,SAN,2,11,0,179
1993,5,24,1,WN,LAS,SAN,2,0,4,64
2008,4,16,3,US,PIT,PHL,2,18,21,77
1989,5,14,7,PI,BWI,RDU,2,0,3,67
2005,5,18,3,AS,SJC,SEA,1,0,0,126
1991,6,28,5,AS,LAX,SFO,2,5,11,86
1990,1,17,3,CO,LGA,IAH,3,3,1,247
1989,8,4,5,US,SAN,LAX,1,27,25,44
1991,7,3,3,UA,SFO,ORD,0,5,4,230
2008,5,25,7,OH,TYS,ATL,1,0,2,65
1990,2,28,3,CO,BOS,EWR,2,0,0,75
1997,8,27,3,AS,ONT,SEA,1,0,11,153
1995,2,11,6,US,PIT,CLT,3,6,16,92
2008,2,15,5,OO,DEN,COS,3,0,8,47
2001,7,24,2,UA,SFO,IAH,2,6,4,228
1996,5,12,7,CO,CHS,GSO,3,3,5,57
2004,9,21,2,UA,BWI,ORD,3,57,29,97
1999,8,18,3,UA,BOS,SFO,3,0,10,393
1991,3,19,2,DL,MLU,PNS,1,1,0,56
2000,7,5,3,US,PVD,BWI,1,15,12,75
1994,5,10,2,US,MIA,MCO,2,2,9,63
1998,12,24,4,DL,IAD,MCO,2,31,33,137
1997,6,23,1,AA,SMF,DFW,2,1,2,203
2001,9,24,1,US,DCA,BUF,2,0,0,74
1991,6,15,6,NW,SFO,MKE,1,7,4,227
2004,7,17,6,AA,JFK,PHX,1,82,77,294
1994,5,20,5,AA,DFW,ORD,1,0,3,128
1990,9,19,3,HP,PHX,MLI,1,2,0,175
1998,11,25,3,DL,ATL,BOS,2,23,17,141
2001,11,17,6,UA,SFO,SNA,2,1,1,90
1988,8,25,4,NW,MEM,STL,3,0,7,74
2008,8,14,4,XE,IAH,GRK,3,2,14,69
1995,3,22,3,WN,OAK,SAN,1,0,0,80
1992,8,28,5,DL,CVG,EWR,1,17,24,115
1997,8,17,7,UA,LAX,MCO,2,0,9,289
1994,2,1,2,UA,ORD,DAY,2,9,8,69
1992,12,1,2,NW,MEM,MIA,1,20,10,126
2004,8,21,6,WN,BUR,LAS,1,0,5,65
1993,9,2,4,AA,DFW,DAY,3,38,49,146
1991,2,18,1,US,SYR,PHL,3,0,9,69
1988,1,21,4,UA,PBI,ORD,2,24,13,163
2004,8,12,4,EV,ATL,GNV,3,0,16,108
1996,5,9,4,DL,SEA,ANC,0,2,11,203
2006,12,23,6,NW,MSP,DLH,2,8,4,50
1998,2,15,7,WN,LAX,SMF,2,5,15,85
2008,2,6,3,WN,BWI,RDU,3,113,114,66
1987,12,23,3,US,BWI,PIT,2,8,2,45
2000,11,21,2,DL,DFW,SNA,2,0,2,191
2005,12,6,2,WN,MCO,CMH,2,35,35,125
1999,7,3,6,AA,DFW,ATL,1,23,22,123
1988,8,26,5,EA,JFK,SJU,1,0,49,245
1995,5,7,7,CO,EWR,SFO,3,2,2,370
1995,9,4,1,DL,LAS,SLC,3,6,9,73
1992,4,25,6,TW,SJU,JFK,1,0,27,247
1990,7,12,4,US,GSO,DCA,3,78,71,53
1992,5,13,3,US,LGA,BTV,3,58,51,52
1993,9,23,4,DL,RSW,ATL,1,0,2,96
1996,1,16,2,DL,DFW,SNA,1,21,35,206
1988,5,8,7,AA,DFW,LAS,2,2,32,193
1999,9,26,7,HP,PHX,CMH,3,3,26,231
2006,5,14,7,XE,PBI,IAH,2,230,284,224
2000,6,12,1,UA,LAX,SAN,2,0,4,50
1993,1,11,1,WN,ELP,LBB,2,0,2,57
1996,5,23,4,AS,SCC,ANC,2,0,3,101
1989,5,18,4,WN,ONT,PHX,1,0,5,70
2004,1,8,4,MQ,DCA,JFK,3,14,7,63
1993,12,17,5,TW,DSM,STL,2,0,20,83
2007,9,3,1,9E,DAY,MSP,1,11,3,111
2006,10,27,5,YV,IAD,CLE,2,144,223,157
1997,7,7,1,HP,PHX,ORD,3,8,3,194
2000,5,3,3,DL,LAX,MCO,1,2,0,271
2008,5,23,5,HA,OGG,HNL,1,2,1,33
1987,11,26,4,US,PIT,MCO,2,5,4,129
1987,10,10,6,WN,MDW,STL,1,0,7,67
2001,1,11,4,UA,LAX,SJC,1,38,40,81
1996,8,24,6,US,ATL,CLT,1,6,14,68
1991,1,18,5,TW,STL,IND,2,52,53,61
1994,11,14,1,DL,MCO,BOS,2,1,9,165
2006,10,10,2,AA,DTW,DFW,3,141,138,167
1993,10,12,2,AS,SEA,OAK,2,0,6,122
2002,10,5,6,AS,BET,ANC,1,39,36,67
1988,5,21,6,PI,CLT,CLE,3,7,43,121
1988,4,20,3,PI,TLH,MCO,1,2,12,58
2001,8,1,3,WN,STL,OKC,2,14,0,76
1988,3,5,6,NW,SFO,MSP,1,0,2,217
2008,8,12,2,CO,BOS,EWR,3,85,53,72
1999,10,31,7,WN,SDF,STL,3,42,30,63
2003,12,20,6,DL,ATL,TPA,1,0,8,95
2006,2,12,7,B6,RSW,JFK,2,0,0,160
2007,12,14,5,WN,BUR,SJC,1,1,2,71
1989,11,8,3,PA (1),SAT,IAH,2,0,12,60
1991,3,3,7,DL,SDF,ATL,2,0,6,84
2003,10,7,2,OO,LAX,SAN,2,0,8,53
2007,8,1,3,MQ,LAX,SAN,2,0,0,60
1997,7,30,3,DL,DCA,LGA,2,3,6,54
1989,8,16,3,US,PIT,SAN,3,26,17,283
2005,1,23,7,NW,DCA,MSP,2,46,45,165
2000,4,20,4,NW,DEN,DTW,1,37,70,206
1995,2,7,2,US,ROC,BWI,1,7,5,58
2001,9,14,5,TW,STL,ATL,3,24,19,90
2004,1,29,4,AA,MSY,ORD,3,41,31,136
1994,4,28,4,AA,ORD,DCA,2,0,0,97
2002,7,3,3,WN,TUL,STL,1,0,0,70
2007,12,31,1,OO,SDF,ORD,2,14,5,77
1999,2,19,5,AS,SJC,SEA,3,6,0,117
1999,6,29,2,DL,PBI,BOS,1,26,23,178
1995,9,3,7,DL,CVG,BOS,1,2,0,115
1990,6,28,4,WN,HRL,HOU,1,0,2,57
2006,1,2,1,CO,EWR,ATL,2,95,85,148
1994,1,7,5,UA,ORD,SNA,1,43,14,235
1995,10,12,4,WN,ELP,DAL,2,0,0,90
1988,7,28,4,TW,LAX,STL,1,7,9,209
1990,4,8,7,CO,EWR,LAX,1,2,1,358
2005,6,4,6,DL,AUS,ATL,1,35,40,136
1992,2,22,6,CO,BOS,EWR,1,11,0,66
1996,2,27,2,NW,MSP,CLE,1,9,75,166
2000,8,28,1,UA,ORD,EWR,3,51,61,139
2004,10,21,4,DL,MOB,ATL,3,31,47,82
2004,6,9,3,OO,ILE,IAH,2,0,3,60
1988,1,31,7,AS,PHX,SEA,2,0,3,173
1988,8,24,3,HP,PHX,PDX,3,20,17,147
1990,1,7,7,US,SAN,LAS,2,10,11,65
1998,5,20,3,UA,SEA,ORD,1,7,4,227
1992,2,26,3,AA,SFO,ORD,1,0,18,255
2005,6,20,1,WN,LAX,LAS,3,56,55,59
1996,10,31,4,US,CLT,GSO,2,30,28,33
2003,3,1,6,WN,ELP,DAL,1,0,0,90
1991,2,12,2,US,LIT,CLT,2,0,11,106
2007,3,9,5,YV,KOA,HNL,2,4,4,40
2003,2,27,4,UA,IAD,LAX,3,29,45,349
1995,6,12,1,US,PIT,STL,2,3,3,108
1990,5,1,2,US,LAX,RNO,1,3,9,81
1988,11,24,4,NW,MSP,GRB,3,5,17,73
1999,4,25,7,HP,ABQ,PHX,3,0,15,101
1988,1,4,1,PI,ORF,JAX,1,38,49,100
1988,9,17,6,UA,ORD,IAH,1,13,20,160
1994,7,21,4,US,PIT,BGM,3,20,12,50
2007,4,11,3,US,PHL,ATL,3,34,57,160
1999,3,25,4,AA,PHX,DFW,1,0,0,136
1991,10,5,6,US,CLT,ORD,2,11,3,106
1993,2,24,3,US,BUF,LGA,2,11,8,69
1995,12,19,2,DL,BOS,LGA,1,10,14,63
1999,3,29,1,WN,OAK,SNA,3,0,1,81
2006,2,12,7,WN,PVD,BWI,3,0,0,75
1994,6,1,3,US,BOS,BWI,1,9,5,84
1987,10,15,4,CO,SFO,DEN,2,31,26,137
2005,9,29,4,WN,LAS,SEA,1,0,12,162
2003,4,23,3,WN,PHX,SJC,1,0,8,123
1997,12,29,1,WN,STL,TUL,1,0,10,90
1995,5,7,7,US,PIT,SAT,3,6,15,206
1990,7,6,5,DL,HOU,ATL,2,0,2,115
1989,12,22,5,DL,FLL,MCO,2,37,39,51
2003,11,25,2,DL,RSW,ATL,2,5,2,103
2006,9,22,5,UA,DTW,DEN,2,8,9,186
1997,8,24,7,US,TRI,CLT,1,1,5,40
1998,4,29,3,UA,DEN,DTW,2,0,6,166
1996,9,30,1,DL,ATL,PBI,3,28,57,120
2004,6,28,1,DL,BWI,ATL,1,4,4,118
2007,5,15,2,OO,OMA,ORD,2,44,152,202
1987,11,7,6,DL,DFW,TUL,2,6,9,55
2000,12,12,2,AA,BUF,ORD,1,18,32,121
2003,2,4,2,NW,MSP,MCI,0,37,27,68
1990,1,7,7,UA,ORD,SLC,3,97,82,187
1989,12,23,6,CO,EWR,SFO,2,40,15,365
1992,9,20,7,US,CLT,CVG,2,3,8,77
2005,11,2,3,MQ,DTW,LGA,3,23,28,124
1994,3,11,5,WN,BUR,OAK,3,17,10,53
2005,7,18,1,WN,PDX,PHX,2,47,47,155
1997,6,15,7,DL,SLC,MCI,2,7,43,169
2006,3,9,4,EV,MEI,ATL,1,0,22,89
1994,8,11,4,HP,LGB,PHX,1,0,5,71
2000,5,18,4,UA,CMH,ORD,1,30,70,120
2007,5,17,4,YV,IAD,CAE,2,15,23,94
1989,1,2,1,UA,MCI,DEN,2,0,0,95
1990,10,25,4,US,OAK,SNA,2,0,7,91
2004,3,12,5,AA,SAN,ORD,2,51,53,237
1990,1,17,3,US,IND,PHX,3,14,33,249
1996,6,28,5,WN,CLE,MDW,2,20,22,67
1992,12,4,5,DL,SLC,CPR,3,10,15,68
2004,3,17,3,US,ORD,PHL,2,27,7,104
1994,8,16,2,WN,ONT,OAK,3,6,9,68
1999,1,6,3,WN,MDW,SDF,1,20,23,63
2007,10,24,3,EV,TRI,ATL,2,0,68,151
1996,2,17,6,UA,GEG,SFO,1,15,14,126
2005,8,5,5,WN,CMH,BWI,1,0,0,70
2002,2,24,7,WN,TUS,LAS,1,0,0,75
1988,11,14,1,DL,ATL,ORD,2,0,2,116
1999,8,19,4,DL,PHX,CVG,2,9,17,222
1996,5,9,4,CO,DEN,EWR,2,2,10,228
1992,7,12,7,DL,SHV,MLU,1,1,0,30
2007,3,28,3,MQ,ORD,CHA,2,124,118,84
1993,8,18,3,AS,ONT,SJC,1,0,1,66
1991,6,11,2,CO,MCO,EWR,2,0,5,155
1990,4,28,6,DL,SLC,PDX,2,0,3,108
1998,6,24,3,DL,MCO,IND,1,18,16,143
1995,8,12,6,DL,SDF,CVG,2,2,1,38
2002,4,12,5,MQ,DFW,MAF,3,0,13,107
1995,7,21,5,US,PHL,ALB,3,1,2,62
1996,9,18,3,US,PIT,BTV,3,4,25,100
1987,10,22,4,DL,LAX,ATL,2,17,19,238
2007,9,14,5,OH,LGA,GSO,2,0,0,110
1991,9,23,1,DL,LAX,ATL,1,14,10,240
2005,12,5,1,UA,ORD,DCA,2,2,49,159
1995,3,14,2,AS,SEA,SFO,2,35,80,167
2006,8,29,2,WN,LAS,BUR,2,9,1,62
2002,5,10,5,US,CLT,IAH,2,1,2,159
1989,4,13,4,DL,ATL,CHA,1,0,3,41
1996,3,3,7,WN,LAX,TUS,2,25,20,75
2007,8,11,6,AA,ORD,MCI,1,52,57,85
2006,8,5,6,WN,MDW,FLL,2,2,0,178
1997,5,16,5,CO,EWR,SFO,1,24,18,359
1996,12,6,5,CO,ATL,EWR,1,1,10,135
1999,9,29,3,UA,ORD,STL,2,3,12,79
2005,10,23,7,WN,HOU,OKC,3,45,48,78
1990,8,1,3,DL,LAX,CVG,0,13,17,252
1990,10,22,1,AA,LAX,SJC,3,0,6,75
1995,4,18,2,HP,PHX,ORD,1,90,81,182
2005,10,7,5,WN,OMA,LAS,3,70,57,157
2002,9,6,5,NW,MSP,ORD,1,65,71,78
2001,10,27,6,WN,MCO,STL,3,0,0,145
1988,10,13,4,UA,SAN,ORD,1,13,4,213
2007,9,13,4,DL,ATL,MSY,2,0,0,89
2006,11,2,4,UA,PHX,SFO,2,83,107,156
2003,8,12,2,AA,IND,ORD,1,19,27,71
1997,8,25,1,AS,OTZ,OME,2,11,8,38
2006,6,5,1,AA,MIA,DFW,3,22,18,177
1997,9,19,5,NW,BNA,DTW,2,10,46,128
2004,6,8,2,WN,MHT,BWI,1,0,2,77
2001,3,20,2,WN,OAK,ONT,3,8,5,67
1995,12,18,1,AA,DFW,ATL,0,77,131,172
2004,3,24,3,DL,LAS,ATL,1,18,24,231
1991,8,12,1,US,TPA,DAY,3,18,11,126
2000,2,25,5,AA,BOS,ORD,2,52,56,161
1993,8,12,4,DL,ATL,BOS,3,5,3,150
2007,11,4,7,WN,ABQ,DAL,3,8,4,91
1992,6,14,7,US,SAN,SFO,3,4,9,91
2003,10,8,3,EV,GTR,ATL,1,25,22,63
1987,10,22,4,TW,CLE,STL,2,4,9,96
2004,7,11,7,WN,ISP,BWI,3,80,80,65
1989,9,9,6,AA,JFK,SAN,3,4,4,341
1992,5,29,5,HP,PHX,DFW,1,8,13,150
1992,12,11,5,CO,CLE,BDL,3,24,31,104
2001,9,9,7,TW,STL,RDU,2,1,3,124
1996,12,22,7,DL,CVG,DEN,2,0,8,189
2000,9,20,3,WN,SFO,PHX,1,0,0,115
2006,10,17,2,OH,CVG,GSP,1,28,31,79
2004,10,19,2,OO,SMF,SLC,2,1,3,92
2000,1,20,4,DL,EWR,ATL,2,0,13,156
1988,11,1,2,PI,CLT,ROA,3,3,0,42
1990,11,29,4,DL,PHX,SAN,3,2,4,63
2008,9,26,5,AA,ORD,LGA,2,42,44,137
1994,9,1,4,AS,OME,OTZ,1,77,0,39
2006,11,12,7,B6,OAK,JFK,1,172,167,317
2001,7,29,7,MQ,DFW,LFT,2,4,0,101
1995,6,21,3,UA,MSN,ORD,2,6,14,51
1994,3,27,7,TW,PHL,STL,3,213,211,142
2008,8,25,1,EV,ATL,LFT,3,0,0,102
1995,7,5,3,AA,SJC,DFW,2,84,78,197
1999,6,10,4,AA,DFW,OMA,2,4,4,110
1988,1,18,1,EA,OMA,MCI,2,73,69,34
2006,5,25,4,FL,ATL,DAY,3,0,23,112
1989,2,15,3,DL,SLC,ANC,3,75,76,283
2007,12,29,6,FL,BWI,TPA,1,0,14,153
2004,5,14,5,NW,PHL,DTW,3,0,0,118
1999,9,11,6,US,PIT,MCO,2,48,53,140
1989,2,23,4,PA (1),JFK,MIA,1,0,26,212
1988,10,29,6,PI,CLE,CLT,3,0,2,85
2007,8,23,4,MQ,LGA,CVG,3,77,75,128
1994,11,21,1,AA,RDU,FLL,3,11,4,104
2004,7,14,3,XE,EWR,ACK,2,0,0,69
