Gender,Year,Major,GPA,FamilyIncome,Age,NoOfCourses,Country,Id
F,4,CHEM,3.4,75000,24,3,US,1531
M,3,ECE,2.4,65000,22,5,US,1532
F,2,CHEM,1.6,130000,20,2,SPAIN,1533
F,1,CS,1.4,150000,19,2,SPAIN,1534
M,2,CS,3.0,85000,21,5,AUS,1535
F,4,ECE,2.0,30000,23,6,ENG,1536
F,3,ME,2.2,80000,22,4,JPN,1537
M,3,CHEM,1.7999999999999998,50000,23,6,GER,1538
F,2,PHY,1.6,130000,20,2,SPAIN,1539
M,3,CHEM,1,335000,23,5,KOR,1540
F,4,CHEM,2.8,30000,23,6,ENG,1541
M,1,CS,1.8,120000,19,4,GER,1542
M,3,ECE,3.0,110000,23,2,AUS,1543
F,1,PHY,1,105000,21,5,SPAIN,1544
M,4,ME,2.8,30000,23,6,RUSSIAN,1545
M,3,ME,2.6,110000,22,2,ENG,1546
M,4,ECE,2.4000000000000004,60000,23,4,GER,1547
F,1,CS,1.6,135000,21,3,GER,1548
M,1,CS,1.8,120000,21,4,SPAIN,1549
F,1,STAT,1.6,135000,21,3,CHN,1550
F,2,STAT,1,85000,22,5,ENG,1551
M,2,PHY,2.8,100000,20,4,CHN,1552
F,2,CS,3.2,70000,21,6,US,1553
M,3,PHY,1.7999999999999998,50000,22,6,CANADA,1554
F,2,ME,1.4,115000,21,3,BRAZIL,1555
M,2,CHEM,1.2,100000,20,4,SPAIN,1556
M,3,ME,2.2,80000,23,4,CANADA,1557
F,3,PHY,2.4,95000,22,3,RUSSIAN,1558
M,4,PHY,3.0,45000,22,5,GER,1559
M,4,MATH,3.4,325000,23,3,GER,1560
M,2,CHEM,1.6,130000,22,2,JPN,1561
M,4,PHY,2.8,30000,23,6,THAILAND,1562
F,1,PHY,1,105000,21,5,BRAZIL,1563
M,1,CHEM,1,150000,19,2,JPN,1564
M,1,ECE,2.5999999999999996,90000,20,6,CANADA,1565
F,1,MATH,1,280000,20,4,SPAIN,1566
M,3,STAT,2.4,95000,23,3,JPN,1567
M,2,MATH,1,330000,22,6,IND,1568
F,3,CHEM,1.7999999999999998,50000,21,6,SPAIN,1569
F,3,MATH,2.4,305000,23,3,GER,1570
M,1,MATH,1,265000,21,3,SPAIN,1571
M,4,ECE,2.6,75000,24,3,BRAZIL,1572
F,2,CHEM,1.4,115000,21,3,AUS,1573
M,1,CHEM,1.6,135000,20,3,CHN,1574
F,1,MATH,1,265000,19,3,IND,1575
M,3,ECE,2.4,65000,23,5,THAILAND,1576
F,4,ME,3.6,90000,22,2,BRAZIL,1577
F,3,CS,3.6,95000,22,3,ENG,1578
M,3,CHEM,2.6,110000,21,2,SPAIN,1579
F,3,CHEM,1.7999999999999998,50000,23,6,AUS,1580
M,2,CHEM,1.4,115000,22,3,IND,1581
F,1,MATH,2.8,250000,21,2,KOR,1582
F,1,ECE,3.0,120000,19,4,CANADA,1583
M,2,ME,1.7999999999999998,285000,20,3,KOR,1584
F,4,MATH,3.6,310000,22,2,FRANCE,1585
M,1,PHY,1,150000,19,2,SPAIN,1586
F,2,PHY,1,85000,22,5,JPN,1587
F,2,CS,3.2,70000,21,6,FRANCE,1588
M,4,MATH,1,340000,24,4,KOR,1589
F,3,ME,2.4,95000,21,3,GER,1590
M,2,MATH,1,315000,21,5,FRANCE,1591
F,1,ECE,3.4,150000,19,2,RUSSIAN,1592
M,3,ECE,2.1999999999999997,50000,21,6,THAILAND,1593
F,3,CHEM,1.7999999999999998,50000,23,6,BRAZIL,1594
F,2,ME,1.6,130000,22,2,THAILAND,1595
M,1,PHY,2.8,295000,20,5,KOR,1596
M,3,CS,4.0,65000,22,5,US,1597
F,3,CHEM,1.7999999999999998,50000,22,6,RUSSIAN,1598
F,4,ECE,2.6,75000,23,3,RUSSIAN,1599
M,1,MATH,1,250000,19,2,AUS,1600
M,1,MATH,1,310000,20,6,BRAZIL,1601
M,3,CHEM,1.7999999999999998,50000,23,6,GER,1602
M,1,CHEM,1,150000,20,2,BRAZIL,1603
M,1,ME,1,135000,20,3,GER,1604
F,2,CS,2.6,115000,21,3,CHN,1605
F,1,STAT,1,135000,21,3,THAILAND,1606
F,4,MATH,3.4,325000,22,3,GER,1607
F,1,MATH,2.8,295000,20,5,KOR,1608
F,2,MATH,1,330000,20,6,JPN,1609
M,2,STAT,1.4,115000,20,3,JPN,1610
M,3,ECE,2.4,65000,22,5,IND,1611
M,3,CS,4.0,65000,22,5,THAILAND,1612
M,4,MATH,3.2,340000,24,4,THAILAND,1613
F,2,MATH,1.6,270000,22,2,IND,1614
F,4,ECE,2.0,30000,23,6,AUS,1615
F,4,ECE,2.4000000000000004,60000,24,4,GER,1616
F,1,STAT,1,120000,19,4,ENG,1617
M,2,MATH,1.2,300000,21,4,CANADA,1618
F,3,ME,2.4,95000,21,3,THAILAND,1619
F,3,ECE,3.0,110000,23,2,JPN,1620
F,3,ECE,2.1999999999999997,50000,21,6,AUS,1621
M,3,STAT,2.6,110000,23,2,RUSSIAN,1622
F,3,PHY,1.7999999999999998,50000,22,6,SPAIN,1623
M,1,ECE,2.8,105000,20,5,ENG,1624
M,1,PHY,1,105000,20,5,ENG,1625
M,1,ME,2.8,310000,19,6,KOR,1626
F,1,PHY,1,150000,21,2,RUSSIAN,1627
M,3,MATH,2.6,290000,23,2,ENG,1628
F,1,ME,1,120000,19,4,THAILAND,1629
M,4,PHY,3.4,75000,24,3,JPN,1630
F,1,ECE,3.4,150000,20,2,US,1631
M,3,CS,1,305000,22,3,KOR,1632
F,3,CS,3.8,80000,21,4,CANADA,1633
M,3,STAT,2.0,65000,21,5,RUSSIAN,1634
F,3,ME,2.2,80000,23,4,AUS,1635
F,4,CS,4,30000,23,6,SPAIN,1636
F,1,ECE,4,105000,20,5,CHN,1637
F,3,STAT,2.6,110000,21,2,FRANCE,1638
M,3,CHEM,2.4,95000,23,3,BRAZIL,1639
M,3,STAT,1,350000,21,6,KOR,1640
M,4,CS,4,60000,23,4,US,1641
M,4,CS,4,45000,22,5,CANADA,1642
M,3,ME,2.6,110000,22,2,CANADA,1643
F,4,PHY,3.0,45000,22,5,THAILAND,1644
M,2,PHY,1,70000,20,6,AUS,1645
M,1,ME,1,135000,19,3,GER,1646
F,2,STAT,1.4,115000,20,3,RUSSIAN,1647
F,4,CHEM,3.0,45000,24,5,GER,1648
M,4,CHEM,3.6,90000,23,2,RUSSIAN,1649
M,4,CHEM,3.0,45000,24,5,FRANCE,1650
M,1,ECE,2.8,250000,21,2,KOR,1651
F,4,ME,3.0,45000,23,5,JPN,1652
M,1,ME,1,150000,20,2,CANADA,1653
M,3,CS,4.0,65000,21,5,CANADA,1654
F,2,ME,1.6,130000,22,2,FRANCE,1655
F,4,ME,3.4,75000,23,3,IND,1656
F,2,CS,3.0,85000,22,5,SPAIN,1657
M,1,CHEM,1,120000,21,4,BRAZIL,1658
F,1,MATH,1,250000,20,2,GER,1659
M,3,PHY,1.7999999999999998,50000,21,6,FRANCE,1660
M,4,ECE,2.6,75000,24,3,CANADA,1661
F,2,ECE,2.4,70000,21,6,SPAIN,1662
M,4,PHY,3.4,75000,23,3,US,1663
F,3,CHEM,2.6,110000,23,2,BRAZIL,1664
F,1,CHEM,1,120000,20,4,FRANCE,1665
F,4,STAT,1,310000,24,2,KOR,1666
F,3,MATH,2.4,305000,21,3,GER,1667
F,2,CS,2.8,100000,20,4,ENG,1668
M,3,PHY,1.7999999999999998,50000,21,6,ENG,1669
M,1,ECE,3.4,150000,21,2,GER,1670
M,3,MATH,1,350000,21,6,KOR,1671
M,3,MATH,1.7999999999999998,350000,21,6,ENG,1672
M,2,MATH,1.4,285000,22,3,AUS,1673
F,1,MATH,1,250000,21,2,SPAIN,1674
M,2,ME,1,85000,20,5,JPN,1675
F,3,CS,3.4,110000,21,2,US,1676
M,1,ME,1,150000,20,2,CANADA,1677
F,4,CHEM,1,370000,24,6,KOR,1678
M,1,CS,1.4,150000,19,2,CHN,1679
M,1,MATH,1,295000,21,5,JPN,1680
M,3,MATH,1.7999999999999998,350000,22,6,SPAIN,1681
F,3,STAT,2.6,110000,22,2,IND,1682
F,4,STAT,3.4,75000,24,3,SPAIN,1683
F,4,ECE,2.4000000000000004,60000,23,4,GER,1684
M,4,STAT,3.2,60000,23,4,THAILAND,1685
F,4,ECE,2.0,30000,24,6,ENG,1686
F,2,MATH,1,330000,20,6,FRANCE,1687
F,1,CS,1.4,150000,20,2,FRANCE,1688
M,4,STAT,3.6,90000,22,2,FRANCE,1689
F,3,ME,2.2,80000,23,4,AUS,1690
F,2,ME,1.2,100000,22,4,JPN,1691
M,4,PHY,3.2,60000,23,4,IND,1692
M,4,MATH,3.4,325000,22,3,FRANCE,1693
M,3,CS,4,50000,23,6,US,1694
M,1,MATH,1.4,250000,20,2,CHN,1695
M,2,MATH,1.7999999999999998,330000,21,6,KOR,1696
F,3,CHEM,1.7999999999999998,50000,21,6,AUS,1697
M,3,ECE,2.1999999999999997,50000,23,6,THAILAND,1698
M,2,ECE,3.2,130000,21,2,ENG,1699
M,3,STAT,2.4,95000,21,3,THAILAND,1700
M,4,MATH,3.2,340000,22,4,FRANCE,1701
F,1,ECE,3.1999999999999997,135000,21,3,JPN,1702
M,4,PHY,3.6,90000,24,2,ENG,1703
F,2,CS,2.4,130000,20,2,CHN,1704
F,1,STAT,1,105000,21,5,IND,1705
F,2,PHY,1.6,130000,21,2,GER,1706
M,4,CS,1,340000,23,4,KOR,1707
F,1,ECE,3.0,120000,20,4,AUS,1708
M,1,PHY,1,150000,20,2,THAILAND,1709
F,1,CHEM,1,135000,19,3,RUSSIAN,1710
F,2,CS,3.2,70000,21,6,SPAIN,1711
M,4,CS,4,30000,23,6,US,1712
F,2,CS,2.8,100000,21,4,RUSSIAN,1713
M,1,ECE,2.5999999999999996,90000,21,6,BRAZIL,1714
F,1,CS,1.8,120000,20,4,IND,1715
M,3,CS,1,320000,21,4,KOR,1716
F,3,CS,1,290000,22,2,KOR,1717
F,2,MATH,1.6,270000,22,2,SPAIN,1718
F,3,MATH,1.7999999999999998,350000,21,6,AUS,1719
M,3,STAT,1,335000,23,5,KOR,1720
M,1,STAT,1,90000,20,6,AUS,1721
M,2,STAT,2.6,115000,20,3,CHN,1722
F,3,ME,2.4,95000,22,3,CANADA,1723
F,2,CHEM,1.4,115000,20,3,FRANCE,1724
F,4,ME,3.2,60000,22,4,SPAIN,1725
M,2,MATH,1.2,300000,21,4,ENG,1726
M,4,ECE,2.8000000000000003,90000,22,2,CANADA,1727
F,3,MATH,2.0,335000,23,5,IND,1728
M,4,MATH,3.2,340000,23,4,THAILAND,1729
F,2,ECE,3.0,115000,20,3,GER,1730
M,1,STAT,1,150000,20,2,JPN,1731
M,4,ECE,2.2,45000,24,5,RUSSIAN,1732
M,4,ME,3.6,90000,23,2,JPN,1733
F,4,CHEM,2.8,30000,23,6,US,1734
M,4,ME,3.4,75000,22,3,GER,1735
M,3,CS,3.8,80000,23,4,GER,1736
M,4,STAT,4,75000,24,3,CHN,1737
F,3,MATH,1,290000,21,2,KOR,1738
F,2,STAT,1.6,130000,20,2,BRAZIL,1739
M,2,ME,1.6,130000,21,2,SPAIN,1740
F,4,STAT,2.8,30000,22,6,GER,1741
F,1,ECE,2.8,280000,21,4,KOR,1742
M,3,MATH,2.6,290000,21,2,FRANCE,1743
F,2,ME,1.2,100000,22,4,JPN,1744
F,1,STAT,1,105000,21,5,GER,1745
F,1,CS,1.6,135000,19,3,SPAIN,1746
M,1,MATH,1,295000,20,5,AUS,1747
M,3,ME,1.7999999999999998,50000,21,6,CANADA,1748
F,4,CHEM,3.2,60000,22,4,IND,1749
F,2,STAT,1.7999999999999998,285000,22,3,KOR,1750
F,1,STAT,1,105000,21,5,GER,1751
F,2,STAT,2.4,130000,22,2,CHN,1752
M,4,MATH,3.0,355000,24,5,BRAZIL,1753
F,3,PHY,2.2,80000,21,4,RUSSIAN,1754
M,1,ME,1,105000,19,5,BRAZIL,1755
M,1,PHY,1,90000,20,6,AUS,1756
M,1,CHEM,1,105000,20,5,AUS,1757
F,1,ME,1,105000,20,5,SPAIN,1758
F,1,STAT,1,90000,20,6,RUSSIAN,1759
M,1,STAT,1,105000,20,5,AUS,1760
M,3,CS,1,290000,22,2,KOR,1761
M,3,PHY,3.8,80000,21,4,CHN,1762
F,3,CS,4,50000,21,6,US,1763
F,3,MATH,2.4,305000,21,3,AUS,1764
F,2,ECE,3.2,130000,22,2,IND,1765
F,2,ME,1,70000,21,6,RUSSIAN,1766
F,4,PHY,2.8,30000,22,6,IND,1767
M,4,CS,4,30000,24,6,AUS,1768
F,1,MATH,1,250000,20,2,FRANCE,1769
F,1,ME,1,135000,19,3,US,1770
M,4,MATH,3.4,325000,23,3,SPAIN,1771
M,4,PHY,2.8,30000,24,6,US,1772
F,3,MATH,2.2,320000,22,4,SPAIN,1773
M,1,CS,2.2,90000,19,6,AUS,1774
F,4,CHEM,3.0,45000,24,5,AUS,1775
M,4,ECE,2.8000000000000003,90000,22,2,BRAZIL,1776
F,1,STAT,1,150000,21,2,JPN,1777
M,3,PHY,2.2,80000,22,4,GER,1778
F,2,CHEM,1.4,115000,22,3,GER,1779
M,2,STAT,1,70000,20,6,FRANCE,1780
M,4,ME,3.4,75000,22,3,CANADA,1781
M,3,MATH,1.7999999999999998,350000,21,6,SPAIN,1782
M,3,STAT,2.0,65000,22,5,IND,1783
F,3,MATH,2.0,335000,21,5,AUS,1784
M,1,ECE,2.5999999999999996,90000,21,6,SPAIN,1785
F,3,CHEM,1.7999999999999998,50000,23,6,AUS,1786
F,3,MATH,2.2,320000,23,4,RUSSIAN,1787
M,3,CHEM,1.7999999999999998,50000,21,6,ENG,1788
M,3,ME,3.4,110000,23,2,CHN,1789
M,4,CS,4,90000,23,2,BRAZIL,1790
F,4,STAT,1,370000,24,6,KOR,1791
F,1,ME,1,135000,20,3,CANADA,1792
M,2,MATH,1,330000,21,6,FRANCE,1793
F,1,CHEM,1,105000,20,5,GER,1794
M,3,ECE,2.8,95000,23,3,IND,1795
F,1,STAT,1,120000,20,4,US,1796
M,4,CS,4,30000,24,6,FRANCE,1797
F,4,PHY,4,60000,24,4,CHN,1798
F,2,ME,1.2,100000,22,4,AUS,1799
M,3,MATH,2.0,335000,23,5,CANADA,1800
M,1,STAT,1,135000,21,3,JPN,1801
M,4,STAT,2.8,30000,22,6,IND,1802
F,2,MATH,1.4,285000,20,3,FRANCE,1803
F,1,ME,1,120000,20,4,RUSSIAN,1804
M,2,ECE,3.0,115000,20,3,IND,1805
M,2,STAT,1.4,115000,20,3,BRAZIL,1806
F,3,ME,4,50000,21,6,CHN,1807
F,1,CS,2.0,105000,19,5,ENG,1808
F,1,MATH,1.4,250000,21,2,CHN,1809
F,1,PHY,2.8,310000,21,6,KOR,1810
M,1,PHY,1,135000,21,3,RUSSIAN,1811
M,4,ECE,2.6,75000,22,3,IND,1812
F,4,PHY,3.4,75000,23,3,US,1813
M,4,STAT,3.4,75000,24,3,THAILAND,1814
M,3,CHEM,2.0,65000,21,5,SPAIN,1815
M,4,ECE,2.8000000000000003,90000,24,2,THAILAND,1816
F,1,STAT,1,135000,19,3,BRAZIL,1817
F,2,PHY,1,70000,20,6,GER,1818
M,4,ECE,2.0,30000,24,6,BRAZIL,1819
M,2,CS,2.4,130000,20,2,GER,1820
M,4,MATH,3.2,340000,23,4,RUSSIAN,1821
M,1,STAT,1.4,150000,20,2,CHN,1822
F,4,ECE,1,325000,23,3,KOR,1823
F,2,CHEM,1.4,115000,20,3,JPN,1824
M,4,ME,4,30000,24,6,CHN,1825
F,2,STAT,1,85000,22,5,IND,1826
M,4,CS,4,30000,24,6,BRAZIL,1827
F,1,CHEM,1,150000,21,2,THAILAND,1828
M,1,MATH,1,295000,21,5,JPN,1829
M,3,PHY,2.0,65000,21,5,GER,1830
M,2,PHY,1.4,115000,22,3,IND,1831
F,2,ECE,3.0,115000,22,3,SPAIN,1832
F,3,CS,4.0,65000,22,5,US,1833
M,1,CS,1.8,120000,19,4,US,1834
M,3,ME,2.2,80000,23,4,JPN,1835
F,4,STAT,2.8,30000,22,6,JPN,1836
M,3,PHY,2.4,95000,23,3,SPAIN,1837
F,3,MATH,1.7999999999999998,350000,23,6,IND,1838
F,1,CHEM,1,120000,19,4,SPAIN,1839
F,1,ECE,4,105000,20,5,CHN,1840
F,4,PHY,3.2,60000,24,4,GER,1841
F,1,MATH,2.8,310000,21,6,KOR,1842
M,1,STAT,1,105000,21,5,AUS,1843
M,1,STAT,1,135000,20,3,BRAZIL,1844
M,3,STAT,1.7999999999999998,50000,23,6,RUSSIAN,1845
M,3,ECE,3.0,110000,22,2,BRAZIL,1846
F,3,CHEM,2.0,65000,21,5,THAILAND,1847
M,1,ECE,3.1999999999999997,135000,20,3,US,1848
M,2,CS,3.2,70000,22,6,AUS,1849
F,2,CHEM,2.4,130000,20,2,CHN,1850
M,2,CHEM,1.6,130000,21,2,FRANCE,1851
M,2,CHEM,1.4,115000,20,3,US,1852
F,3,ME,2.2,80000,22,4,GER,1853
F,1,ME,1,105000,19,5,THAILAND,1854
M,1,PHY,1,90000,20,6,BRAZIL,1855
F,1,ME,1,105000,20,5,RUSSIAN,1856
M,4,MATH,3.0,355000,22,5,FRANCE,1857
F,3,MATH,1.7999999999999998,350000,21,6,RUSSIAN,1858
F,2,MATH,1.4,285000,22,3,IND,1859
F,4,CHEM,3.4,75000,24,3,RUSSIAN,1860
M,3,CS,4.0,65000,22,5,RUSSIAN,1861
F,3,PHY,2.2,80000,21,4,AUS,1862
M,3,ME,2.2,80000,21,4,IND,1863
F,4,STAT,3.2,60000,23,4,FRANCE,1864
F,1,MATH,1,250000,19,2,BRAZIL,1865
F,3,PHY,2.4,95000,21,3,SPAIN,1866
M,2,MATH,1,330000,21,6,RUSSIAN,1867
M,4,ME,3.2,60000,22,4,JPN,1868
F,4,PHY,2.8,30000,23,6,THAILAND,1869
F,1,MATH,1,295000,20,5,RUSSIAN,1870
M,4,STAT,3.0,45000,24,5,FRANCE,1871
M,4,MATH,3.4,325000,23,3,RUSSIAN,1872
F,2,STAT,1,70000,22,6,AUS,1873
M,1,STAT,1.8,120000,20,4,CHN,1874
M,4,STAT,2.8,30000,23,6,JPN,1875
F,2,STAT,1.7999999999999998,300000,21,4,KOR,1876
F,3,CHEM,2.4,95000,22,3,JPN,1877
M,3,CS,4,50000,21,6,US,1878
F,2,ME,1.2,100000,21,4,IND,1879
M,2,ME,1.4,115000,20,3,AUS,1880
M,4,CHEM,3.4,75000,24,3,JPN,1881
F,3,ME,3.4,110000,21,2,CHN,1882
F,1,STAT,1,90000,21,6,RUSSIAN,1883
F,3,ME,1.7999999999999998,50000,23,6,ENG,1884
F,3,STAT,2.0,65000,22,5,BRAZIL,1885
M,3,ME,2.0,65000,22,5,CANADA,1886
F,3,STAT,1.7999999999999998,50000,21,6,SPAIN,1887
M,2,MATH,1.4,285000,21,3,SPAIN,1888
F,2,CHEM,1.4,115000,20,3,IND,1889
F,3,ECE,3.0,110000,21,2,FRANCE,1890
F,3,CHEM,2.6,110000,21,2,GER,1891
M,3,PHY,2.0,65000,21,5,GER,1892
F,3,STAT,1.7999999999999998,50000,22,6,IND,1893
F,4,ME,3.6,90000,23,2,AUS,1894
F,1,STAT,1,135000,20,3,JPN,1895
F,4,PHY,3.4,75000,23,3,THAILAND,1896
M,1,PHY,1,135000,21,3,IND,1897
F,3,MATH,1,320000,22,4,KOR,1898
F,4,CS,4,45000,24,5,BRAZIL,1899
M,3,CS,3.6,95000,22,3,CHN,1900
M,1,PHY,1,150000,21,2,CANADA,1901
F,2,CS,2.4,130000,20,2,AUS,1902
F,3,CS,4.0,65000,21,5,ENG,1903
F,3,ME,2.6,110000,23,2,GER,1904
M,1,MATH,2.2,310000,19,6,CHN,1905
M,1,ME,1,90000,21,6,IND,1906
F,3,MATH,1,320000,23,4,KOR,1907
F,3,CS,3.4,110000,21,2,SPAIN,1908
F,3,ME,2.2,80000,22,4,FRANCE,1909
F,3,MATH,2.0,335000,21,5,JPN,1910
F,4,CS,4,60000,24,4,JPN,1911
F,4,ME,3.0,45000,24,5,FRANCE,1912
M,2,ME,1.2,100000,20,4,CANADA,1913
M,2,STAT,1.2,100000,20,4,THAILAND,1914
M,4,CS,1,355000,24,5,KOR,1915
M,3,ME,2.4,95000,23,3,JPN,1916
F,4,ME,3.6,90000,23,2,JPN,1917
M,4,CS,4,60000,22,4,AUS,1918
M,2,MATH,1.2,300000,20,4,US,1919
F,4,PHY,4,75000,22,3,CHN,1920
F,1,MATH,1,265000,20,3,AUS,1921
M,4,CS,4,60000,23,4,CHN,1922
M,2,STAT,1,70000,21,6,IND,1923
F,2,MATH,1.2,300000,20,4,AUS,1924
F,4,STAT,3.0,45000,23,5,THAILAND,1925
M,3,PHY,2.4,95000,23,3,US,1926
F,4,ECE,2.0,30000,23,6,BRAZIL,1927
F,3,STAT,2.4,95000,22,3,IND,1928
M,2,ME,1,70000,20,6,SPAIN,1929
F,1,CHEM,1,150000,21,2,IND,1930
F,1,CHEM,1,135000,19,3,BRAZIL,1931
F,3,CHEM,1.7999999999999998,50000,23,6,US,1932
F,4,ECE,2.4000000000000004,60000,22,4,AUS,1933
M,1,STAT,1,150000,20,2,FRANCE,1934
F,1,ECE,3.4,150000,19,2,BRAZIL,1935
F,4,PHY,3.4,75000,24,3,GER,1936
F,1,CS,2.8,280000,19,4,KOR,1937
M,2,PHY,1.4,115000,22,3,SPAIN,1938
F,4,MATH,2.8,370000,24,6,GER,1939
M,1,STAT,1,150000,20,2,CANADA,1940
F,1,ME,1,150000,21,2,THAILAND,1941
F,3,ECE,2.8,95000,21,3,CANADA,1942
F,1,ECE,2.5999999999999996,90000,19,6,AUS,1943
F,3,ECE,2.1999999999999997,50000,23,6,CANADA,1944
M,2,ME,1,85000,22,5,BRAZIL,1945
M,4,ECE,2.2,45000,23,5,IND,1946
M,1,CHEM,1,120000,20,4,RUSSIAN,1947
F,2,PHY,1,70000,20,6,SPAIN,1948
M,1,ME,1,150000,20,2,SPAIN,1949
M,4,STAT,2.8,30000,23,6,JPN,1950
F,3,ECE,3.0,110000,23,2,JPN,1951
M,1,ECE,2.5999999999999996,90000,20,6,THAILAND,1952
M,4,ME,4,60000,23,4,CHN,1953
F,1,CHEM,2.8,310000,21,6,KOR,1954
M,4,PHY,2.8,30000,24,6,GER,1955
M,2,CS,2.8,100000,22,4,SPAIN,1956
M,4,STAT,4,30000,23,6,CHN,1957
F,1,CS,1.6,135000,20,3,ENG,1958
M,4,PHY,3.4,75000,24,3,ENG,1959
F,3,CHEM,1.7999999999999998,50000,23,6,ENG,1960
F,3,ME,2.2,80000,21,4,RUSSIAN,1961
F,2,STAT,1.4,115000,22,3,SPAIN,1962
F,2,PHY,2.8,100000,20,4,CHN,1963
F,4,CHEM,3.0,45000,23,5,GER,1964
M,1,CS,2.8,295000,19,5,KOR,1965
M,1,STAT,1.8,120000,20,4,CHN,1966
F,2,PHY,1,85000,20,5,JPN,1967
M,2,CHEM,1,70000,20,6,CANADA,1968
M,1,ECE,2.5999999999999996,90000,21,6,ENG,1969
M,4,PHY,3.6,90000,22,2,IND,1970
M,4,PHY,3.4,75000,22,3,US,1971
F,1,STAT,1,120000,19,4,THAILAND,1972
M,3,PHY,1.7999999999999998,50000,22,6,CANADA,1973
M,2,CS,2.8,100000,22,4,AUS,1974
F,2,STAT,1.2,100000,20,4,IND,1975
M,2,CS,2.8,100000,21,4,JPN,1976
F,3,CS,3.6,95000,22,3,ENG,1977
F,2,CHEM,1.2,100000,20,4,AUS,1978
M,4,CHEM,2.8,30000,22,6,CANADA,1979
F,4,PHY,3.0,45000,24,5,US,1980
F,3,PHY,2.6,110000,21,2,RUSSIAN,1981
F,3,MATH,2.6,290000,21,2,FRANCE,1982
M,2,CHEM,1.2,100000,20,4,RUSSIAN,1983
M,4,CHEM,1,310000,23,2,KOR,1984
M,3,MATH,2.0,335000,21,5,JPN,1985
F,3,ECE,2.4,65000,21,5,ENG,1986
M,3,STAT,2.6,110000,22,2,JPN,1987
F,1,STAT,1,105000,20,5,SPAIN,1988
F,1,STAT,1,150000,21,2,JPN,1989
M,2,PHY,1,70000,21,6,RUSSIAN,1990
M,3,PHY,1.7999999999999998,50000,21,6,CANADA,1991
F,4,MATH,3.6,310000,22,2,ENG,1992
M,4,MATH,3.0,355000,24,5,SPAIN,1993
M,3,STAT,2.4,95000,23,3,US,1994
M,2,CS,3.2,70000,22,6,IND,1995
F,3,CS,4,50000,23,6,AUS,1996
M,2,CS,3.0,85000,22,5,THAILAND,1997
F,2,CHEM,1.2,100000,20,4,CANADA,1998
F,3,STAT,1.7999999999999998,50000,21,6,US,1999
F,1,PHY,1,120000,21,4,IND,2000
M,3,CS,1,290000,21,2,KOR,2001
M,4,STAT,3.2,60000,23,4,THAILAND,2002
F,2,CHEM,1.6,130000,20,2,CANADA,2003
M,2,ME,1,70000,20,6,US,2004
M,4,PHY,3.2,60000,22,4,AUS,2005
F,3,CS,3.4,110000,21,2,SPAIN,2006
M,3,PHY,2.2,80000,22,4,GER,2007
M,2,MATH,1.2,300000,22,4,JPN,2008
F,3,CHEM,2.0,65000,23,5,THAILAND,2009
F,2,CHEM,1,85000,22,5,THAILAND,2010
M,1,STAT,1,120000,21,4,THAILAND,2011
M,4,STAT,2.8,30000,24,6,FRANCE,2012
M,2,CHEM,1,70000,21,6,ENG,2013
M,3,ECE,2.4,65000,23,5,GER,2014
M,4,PHY,3.6,90000,23,2,SPAIN,2015
F,1,MATH,1,295000,19,5,IND,2016
F,1,PHY,2.8,265000,21,3,KOR,2017
M,4,ME,1,370000,22,6,KOR,2018
M,4,MATH,3.0,355000,23,5,ENG,2019
F,3,CHEM,2.2,80000,21,4,US,2020
M,1,ME,1,120000,21,4,GER,2021
F,3,PHY,2.6,110000,22,2,GER,2022
F,1,MATH,1,250000,21,2,GER,2023
M,3,PHY,2.4,95000,23,3,THAILAND,2024
M,3,STAT,1.7999999999999998,50000,22,6,ENG,2025
F,3,CS,4,50000,22,6,THAILAND,2026
M,4,STAT,3.4,75000,24,3,FRANCE,2027
F,2,ECE,2.8,100000,22,4,JPN,2028
M,3,CS,3.4,110000,23,2,BRAZIL,2029
F,1,CS,1.4,150000,20,2,AUS,2030
F,2,CS,3.0,85000,20,5,CHN,2031
F,2,ME,1.2,100000,20,4,BRAZIL,2032
M,2,ECE,2.8,100000,21,4,CANADA,2033
M,3,MATH,1,350000,21,6,KOR,2034
F,2,MATH,1.4,285000,21,3,FRANCE,2035
F,3,ME,2.4,95000,22,3,US,2036
M,2,CHEM,1.4,115000,21,3,THAILAND,2037
F,1,STAT,1,135000,21,3,IND,2038
M,3,CHEM,2.6,110000,21,2,THAILAND,2039
M,3,ME,2.4,95000,22,3,AUS,2040
M,4,PHY,3.4,75000,24,3,GER,2041
M,3,CS,3.4,110000,21,2,GER,2042
M,4,ME,4,45000,23,5,CHN,2043
F,4,ECE,2.8000000000000003,90000,22,2,AUS,2044
M,4,STAT,3.6,90000,23,2,THAILAND,2045
M,3,ME,2.4,95000,21,3,RUSSIAN,2046
M,3,CHEM,1.7999999999999998,50000,21,6,JPN,2047
M,1,CHEM,1,120000,19,4,JPN,2048
F,1,STAT,1,120000,21,4,SPAIN,2049
M,2,ECE,2.6,85000,21,5,BRAZIL,2050
M,1,ECE,3.1999999999999997,135000,21,3,BRAZIL,2051
F,4,STAT,3.0,45000,24,5,CANADA,2052
M,2,PHY,1.2,100000,21,4,BRAZIL,2053
F,2,CS,2.6,115000,22,3,CANADA,2054
M,1,ECE,4,135000,21,3,CHN,2055
F,2,ME,1,85000,22,5,RUSSIAN,2056
F,3,CHEM,2.4,95000,23,3,THAILAND,2057
